year,price
2008,41.64
2008,41.64
2008,41.43
2008,41.82
2008,41.83
2008,41.85
2008,41.88
2008,41.88
2008,41.88
2008,41.9
2008,42
2008,42
2008,41.9
2008,41.87
2008,41.85
2008,42
2008,41.85
2008,41.57
2008,41.44
2008,41.45
2008,41.44
2008,41.49
2008,41.44
2008,41.59
2008,41.77
2008,41.77
2008,41.44
2008,41.61
2008,41.61
2008,41.61
2008,41.61
2008,41.58
2008,41.46
2008,41.64
2008,41.45
2008,41.44
2008,41.46
2008,41.46
2008,41.44
2008,41.45
2008,41.45
2008,41.44
2008,41.42
2008,41.408
2008,41.4
2008,41.4
2008,41.36
2008,41.36
2008,41.45
2008,41.45
2008,41.45
2008,41.45
2008,41.45
2008,41.45
2008,41.45
2008,41.45
2008,41.48
2008,41.45
2008,41.48
2008,41.45
2008,41.44
2008,41.44
2008,41.44
2008,41.41
2008,41.41
2008,41.47
2008,41.47
2008,41.49
2008,41.49
2008,41.41
2008,41.46
2008,41.48
2008,41.48
2008,41.48
2008,41.47
2008,41.47
2008,41.46
2008,41.43
2008,41.46
2008,41.47
2008,41.36
2008,41.35
2008,41.35
2008,41.33
2008,41.31
2008,41.3
2008,41.23
2008,41.23
2008,41.23
2008,41.23
2008,41.33
2008,41.38
2008,41.44
2008,41.23
2008,41.44
2008,41.23
2008,41.23
2008,41.45
2008,41.23
2008,41.22
2008,41.22
2008,41.47
2008,41.23
2008,41.22
2008,41.22
2008,41.23
2008,41.23
2008,41.22
2008,41.21
2008,41.2
2008,41.18
2008,41.33
2008,41.33
2008,41.18
2008,41.25
2008,41.25
2008,41.17
2008,41.17
2008,41.21
2008,41.17
2008,41.255
2008,41.25
2008,41.25
2008,41.17
2008,41.17
2008,41.215
2008,41.13
2008,41.215
2008,41.215
2008,41.17
2008,41.195
2008,41.13
2008,41.195
2008,41.19
2008,41.12
2008,41.19
2008,41.12
2008,41.19
2008,41.18
2008,41.15
2008,41.12
2008,41.26
2008,41.26
2008,41.11
2008,41.11
2008,41.145
2008,41.11
2008,41.11
2008,41.11
2008,41.135
2008,41.17
2008,41.135
2008,41.1
2008,41.06
2008,41.13
2008,41.05
2008,41.09
2008,41.05
2008,41.11
2008,41.2
2008,41.19
2008,41.0588
2008,41.19
2008,41.0588
2008,41.21
2008,41.21
2008,41.19
2008,41.19
2008,41.0874
2008,41.44
2008,41.27
2008,41.27
2008,41.27
2008,41.29
2008,41.29
2008,41.3
2008,41.3
2008,41.23
2008,41.23
2008,41.33
2008,41.33
2008,41.38
2008,41.32
2008,41.33
2008,41.33
2008,41.26
2008,41.35
2008,41.37
2008,41.36
2008,41.34
2008,41.36
2008,41.34
2008,41.43
2008,41.42
2008,41.44
2008,41.44
2008,41.47
2008,41.52
2008,41.45
2008,41.45
2008,41.45
2008,41.46
2008,41.47
2008,41.47
2008,41.51
2008,41.46
2008,41.46
2008,41.47
2008,41.46
2008,41.46
2008,41.46
2008,41.46
2008,41.46
2008,41.46
2008,41.46
2008,41.47
2008,41.52
2008,41.52
2008,41.52
2008,41.49
2008,41.49
2008,41.52
2008,41.49
2008,41.429
2008,41.47
2008,41.4301
2008,41.49
2008,41.44
2008,41.44
2008,41.45
2008,41.46
2008,41.47
2008,41.49
2008,41.5
2008,41.47
2008,41.47
2008,41.46
2008,41.45
2008,41.44
2008,41.47
2008,41.47
2008,41.45
2008,41.5
2008,41.5
2008,41.5
2008,41.47
2008,41.47
2008,41.4601
2008,41.47
2008,41.5
2008,41.47
2008,41.47
2008,41.47
2008,41.47
2008,41.48
2008,41.46
2008,41.47
2008,41.52
2008,41.48
2008,41.48
2008,41.5
2008,41.51
2008,41.46
2008,41.47
2008,41.47
2008,41.47
2008,41.47
2008,41.46
2008,41.47
2008,41.48
2008,41.45
2008,41.42
2008,41.42
2008,41.43
2008,41.41
2008,41.45
2008,41.47
2008,41.46
2008,41.48
2008,41.48
2008,41.48
2008,41.46
2008,41.45
2008,41.45
2008,41.49
2008,41.45
2008,41.48
2008,41.4301
2008,41.49
2008,41.46
2008,41.44
2008,41.43
2008,41.43
2008,41.43
2008,41.4201
2008,41.41
2008,41.41
2008,41.4
2008,41.46
2008,41.39
2008,41.392
2008,41.392
2008,41.4388
2008,41.44
2008,41.4
2008,41.41
2008,41.41
2008,41.45
2008,41.46
2008,41.49
2008,41.5
2008,41.5
2008,41.49
2008,41.5
2008,41.47
2008,41.5
2008,41.47
2008,41.49
2008,41.5
2008,41.5
2008,41.54
2008,41.48
2008,41.5
2008,41.48
2008,41.53
2008,41.5
2008,41.53
2008,41.5
2008,41.5
2008,41.5
2008,41.5
2008,41.5
2008,41.534
2008,41.5
2008,41.47
2008,41.47
2008,41.46
2008,41.46
2008,41.45
2008,41.42
2008,41.47
2008,41.45
2008,41.45
2008,41.45
2008,41.4
2008,41.44
2008,41.4
2008,41.45
2008,41.4
2008,41.44
2008,41.4
2008,41.44
2008,41.45
2008,41.45
2008,41.45
2008,41.41
2008,41.42
2008,41.4
2008,41.42
2008,41.45
2008,41.4
2008,41.44
2008,41.4
2008,41.45
2008,41.45
2008,41.45
2008,41.45
2008,41.45
2008,41.4
2008,41.45
2008,41.45
2008,41.45
2008,41.42
2008,41.4
2008,41.41
2008,41.41
2008,41.4
2008,41.4
2008,41.4
2008,41.39
2008,41.45
2008,41.43
2008,41.4
2008,41.39
2008,41.39
2008,41.4
2008,41.39
2008,41.4
2008,41.395
2008,41.38
2008,41.4
2008,41.3428
2008,41.33
2008,41.33
2008,41.33
2008,41.33
2008,41.33
2008,41.33
2008,41.35
2008,41.33
2008,41.33
2008,41.33
2008,41.35
2008,41.35
2008,41.35
2008,41.35
2008,41.35
2008,41.35
2008,41.35
2008,41.33
2008,41.39
2008,41.36
2008,41.36
2008,41.36
2008,41.36
2008,41.33
2008,41.33
2008,41.31
2008,41.32
2008,41.3
2008,41.3
2008,41.32
2008,41.33
2008,41.32
2008,41.33
2008,41.29
2008,41.28
2008,41.29
2008,41.33
2008,41.29
2008,41.31
2008,41.31
2008,41.31
2008,41.31
2008,41.31
2008,41.33
2008,41.34
2008,41.33
2008,41.33
2008,41.29
2008,41.2916
2008,41.315
2008,41.305
2008,41.305
2008,41.305
2008,41.29
2008,41.296
2008,41.29
2008,41.31
2008,41.3
2008,41.3
2008,41.28
2008,41.32
2008,41.32
2008,41.285
2008,41.28
2008,41.285
2008,41.32
2008,41.32
2008,41.29
2008,41.285
2008,41.3
2008,41.3
2008,41.3
2008,41.3
2008,41.28
2008,41.3
2008,41.3
2008,41.28
2008,41.285
2008,41.31
2008,41.29
2008,41.29
2008,41.3
2008,41.3
2008,41.3
2008,41.28
2008,41.3
2008,41.3
2008,41.3
2008,41.3
2008,41.3
2008,41.3
2008,41.3
2008,41.33
2008,41.35
2008,41.32
2008,41.3
2008,41.3
2008,41.28
2008,41.3
2008,41.3
2008,41.32
2008,41.3
2008,41.3
2008,41.3
2008,41.3
2008,41.3
2008,41.3
2008,41.3
2008,41.3
2008,41.34
2008,41.3
2008,41.35
2008,41.35
2008,41.3
2008,41.3
2008,41.34
2008,41.35
2008,41.34
2008,41.3
2008,41.34
2008,41.34
2008,41.35
2008,41.3
2008,41.3
2008,41.3
2008,41.29
2008,41.3
2008,41.29
2008,41.33
2008,41.3
2008,41.3
2008,41.3
2008,41.3
2008,41.3
2008,41.3
2008,41.3
2008,41.3
2008,41.33
2008,41.3
2008,41.34
2008,41.3
2008,41.29
2008,41.3
2008,41.29
2008,41.29
2008,41.3
2008,41.3
2008,41.3
2008,41.3
2008,41.3
2008,41.325
2008,41.325
2008,41.325
2008,41.325
2008,41.325
2008,41.3
2008,41.3
2008,41.3
2008,41.34
2008,41.33
2008,41.35
2008,41.35
2008,41.35
2008,41.33
2008,41.35
2008,41.35
2008,41.32
2008,41.32
2008,41.34
2008,41.31
2008,41.31
2008,41.35
2008,41.35
2008,41.32
2008,41.32
2008,41.35
2008,41.35
2008,41.31
2008,41.28
2008,41.28
2008,41.28
2008,41.28
2008,41.31
2008,41.26
2008,41.35
2008,41.32
2008,41.35
2008,41.35
2008,41.35
2008,41.32
2008,41.32
2008,41.35
2008,41.35
2008,41.35
2008,41.35
2008,41.32
2008,41.36
2008,41.34
2008,41.34
2008,41.32
2008,41.34
2008,41.33
2008,41.34
2008,41.34
2008,41.33
2008,41.32
2008,41.31
2008,41.32
2008,41.32
2008,41.32
2008,41.33
2008,41.35
2008,41.36
2008,41.33
2008,41.33
2008,41.36
2008,41.37
2008,41.35
2008,41.32
2008,41.32
2008,41.32
2008,41.32
2008,41.326
2008,41.32
2008,41.32
2008,41.32
2008,41.38
2008,41.32
2008,41.32
2008,41.32
2008,41.32
2008,41.32
2008,41.35
2008,41.32
2008,41.31
2008,41.35
2008,41.36
2008,41.37
2008,41.32
2008,41.29
2008,41.32
2008,41.3
2008,41.29
2008,41.3
2008,41.26
2008,41.3
2008,41.3
2008,41.25
2008,41.25
2008,41.25
2008,41.25
2008,41.26
2008,41.26
2008,41.25
2008,41.24
2008,41.25
2008,41.25
2008,41.25
2008,41.24
2008,41.25
2008,41.24
2008,41.2
2008,41.18
2008,41.21
2008,41.15
2008,41.11
2008,41.06
2008,41.07
2008,41.07
2008,41.06
2008,41.05
2008,41.06
2008,41.05
2008,41.09
2008,41.02
2008,41.01
2008,41.01
2008,41.01
2008,41.01
2008,41
2008,41
2008,41
2008,41.06
2008,41.07
2008,41.09
2008,41.09
2008,41.09
2008,41.04
2008,41.08
2008,41.09
2008,41.09
2008,41.02
2008,41.02
2008,41.09
2008,41.01
2008,41.01
2008,41.01
2008,41.01
2008,41.01
2008,41.01
2008,41.01
2008,41.03
2008,41.03
2008,41.01
2008,41.01
2008,41.01
2008,41.01
2008,41.07
2008,41.09
2008,41.09
2008,41.09
