SN,Average
631,67.5
632,55
633,57.5
634,185
635,115
636,55
637,300
638,230
639,55
640,255
641,19
642,95
643,65
644,32.5
645,19
646,57.5
647,55
648,135
649,175
650,27.5
651,95
652,47.5
653,35
654,95
655,55
656,75
657,55
658,215
659,32.5
660,26
661,23.5
662,19.5
663,37
664,41
665,12
666,27.5
667,37.5
668,27.5
669,37.5
670,45
671,37.5
672,42.5
673,27.5
674,27.5
675,37.5
676,30
677,27.5
678,42.5
679,18
680,20
681,37.5
682,37.5
683,37.5
684,37.5
685,42.5
686,42.5
687,37.5
688,42.5
689,37.5
690,160
691,112.5
692,55
693,37.5
694,75
695,47.5
696,125
697,175
698,47.5
699,125
700,47.5
701,67.5
702,65
703,57.5
704,185
705,115
706,55
707,300
708,230
709,55
710,255
711,19
712,95
713,65
714,32.5
715,19
716,55
717,55
718,135
719,175
720,35
721,95
722,47.5
723,60
724,95
725,55
726,75
727,75
728,215
729,27.5
730,20
731,23.5
732,19.5
733,37
734,42.5
735,13.5
736,35
737,47.5
738,27.5
739,37.5
740,42.5
741,42.5
742,39
743,42.5
744,30
745,31
746,32.5
747,29
748,27.5
749,42.5
750,18
751,16.5
752,42.5
753,37.5
754,39
755,37.5
756,42.5
757,37.5
758,37.5
759,47.5
760,37.5
761,150
762,120
763,55
764,37.5
765,75
766,47.5
767,125
768,175
769,47.5
770,125
771,47.5
772,5.5
773,67.5
774,65
775,57.5
776,185
777,115
778,45
779,300
780,230
781,55
782,24.5
783,105
784,75
785,31.5
786,17.5
787,57.5
788,55
789,135
790,175
791,45
792,85
793,57.5
794,95
795,55
796,75
797,75
798,215
799,27.5
800,17.5
801,23
802,19.5
803,37.5
804,47.5
805,12
806,32.5
807,47.5
808,22.5
809,37.5
810,42.5
811,39
812,39
813,27.5
814,32.5
815,32.5
816,37.5
817,22.5
818,42.5
819,18
820,17.5
821,42.5
822,30
823,41
824,37.5
825,42.5
826,42.5
827,37.5
828,42.5
829,37.5
830,170
831,125
832,55
833,37.5
834,65
835,55
836,125
837,175
838,42.5
839,125
840,47.5
