date,ncumul_conf
5600.0,2042.0
5631.0,11317.0
5632.0,221.0
5663.0,280.0
5664.0,148.0
5695.0,309.0
5696.0,1602.0
5727.0,319.0
5728.0,4739.0
5759.0,282.0
5760.0,1596.0
5791.0,2165.0
5792.0,1981.0
5823.0,1476.0
5824.0,3573.0
5855.0,566.0
5856.0,22107.0
5887.0,6672.0
5888.0,12731.0
5919.0,640.0
5920.0,303.0
5951.0,9932.0
5952.0,
5983.0,27526.0
5984.0,14337.0
6015.0,3384.0
6016.0,2723.0
6047.0,365.0
6048.0,851.0
6079.0,604.0
6080.0,2967.0
6111.0,629.0
6112.0,10681.0
6143.0,788.0
6144.0,27916.0
6175.0,4254.0
6176.0,29968.0
6207.0,3444.0
6208.0,3026.0
6239.0,12263.0
6240.0,11194.0
6271.0,31514.0
6272.0,633.0
6303.0,2506.0
6304.0,4190.0
6335.0,4723.0
6336.0,18092.0
6367.0,13648.0
6368.0,12610.0
6399.0,33474.0
6400.0,748.0
6431.0,2766.0
6432.0,1419.0
6463.0,490.0
6464.0,38061.0
6495.0,19461.0
6496.0,
6527.0,14129.0
6528.0,45999.0
6559.0,4709.0
6560.0,1588.0
6591.0,1456.0
6592.0,40977.0
6623.0,911.0
6624.0,4790.0
6655.0,902.0
6656.0,17020.0
6687.0,22388.0
6688.0,1253.0
6719.0,5368.0
6720.0,44361.0
6751.0,5322.0
6752.0,3778.0
6783.0,18600.0
6784.0,16222.0
6815.0,1047.0
6816.0,963.0
6847.0,5406.0
6848.0,2078.0
6879.0,
6880.0,5757.0
6911.0,23433.0
6912.0,1404.0
6943.0,7353.0
6944.0,20119.0
6975.0,2257.0
6976.0,8493.0
7007.0,8608.0
7008.0,21815.0
7039.0,13063.0
7040.0,10633.0
7071.0,1566.0
7072.0,38064.0
7103.0,9306.0
7104.0,1998.0
7135.0,9293.0
7136.0,1600.0
7167.0,14156.0
7168.0,10907.0
7199.0,53779.0
7200.0,24538.0
7231.0,1241.0
7232.0,24755.0
7263.0,22649.0
7264.0,1396.0
7295.0,11165.0
7296.0,1300.0
7327.0,24926.0
7328.0,1858.0
7359.0,26746.0
7360.0,40573.0
7391.0,7735.0
7392.0,65387.0
7423.0,16029.0
7424.0,11388.0
7455.0,1331.0
7456.0,10288.0
7487.0,7480.0
7488.0,2960.0
7519.0,23449.0
7520.0,1588.0
7551.0,11729.0
7552.0,1466.0
7583.0,29219.0
7584.0,43599.0
7615.0,1635.0
7616.0,8438.0
7647.0,28938.0
7648.0,24370.0
7679.0,41212.0
7680.0,1455.0
7711.0,5260.0
7712.0,8138.0
7743.0,748.0
7744.0,74459.0
7775.0,1604.0
7776.0,29746.0
7807.0,31400.0
7808.0,46457.0
7839.0,13255.0
7840.0,8785.0
7871.0,12056.0
7872.0,24620.0
7903.0,19347.0
7904.0,12589.0
7935.0,60700.0
7936.0,27846.0
7967.0,784.0
7968.0,77955.0
7999.0,9399.0
8000.0,5054.0
8031.0,31330.0
8032.0,26269.0
8063.0,1658.0
8064.0,1648.0
8095.0,5789.0
8096.0,8828.0
8127.0,
8128.0,9616.0
8159.0,2455.0
8160.0,43467.0
8191.0,33992.0
8192.0,49353.0
8223.0,14059.0
8224.0,9239.0
8255.0,12746.0
8256.0,25729.0
8287.0,13125.0
8288.0,1853.0
8319.0,50025.0
8320.0,6014.0
8351.0,82484.0
8352.0,
8383.0,10095.0
8384.0,5362.0
8415.0,32930.0
8416.0,26963.0
8447.0,44883.0
8448.0,1765.0
8479.0,14425.0
8480.0,9491.0
8511.0,13375.0
8512.0,1911.0
8543.0,30260.0
8544.0,2532.0
8575.0,13032.0
8576.0,35554.0
8607.0,9308.0
8608.0,14567.0
8639.0,13314.0
8640.0,26704.0
8671.0,27408.0
8672.0,65867.0
8703.0,6349.0
8704.0,9382.0
8735.0,858.0
8736.0,85587.0
