Timestamp,OutboundUtilzation (%)
0.0,96.2442
17.0,43.9489
19.0,91.5998
25.0,46.6574
31.0,72.5685
32.0,69.0454
40.0,40.165
43.0,89.3536
48.0,41.4199
54.0,71.4482
63.0,55.3133
64.0,51.1738
66.0,87.7046
95.0,19.3071
96.0,20.677
119.0,0.0417042
127.0,45.5855
128.0,29.8915
134.0,0.0303731
136.0,37.7295
147.0,0.316658
159.0,20.1745
160.0,5.14864
191.0,77.8073
192.0,90.341
209.0,62.7538
223.0,97.7051
224.0,99.7097
231.0,34.5339
238.0,88.6876
245.0,31.5336
255.0,50.7294
256.0,44.5182
259.0,92.8581
287.0,42.3407
288.0,40.1186
295.0,98.2301
301.0,36.9466
308.0,91.278
319.0,62.1834
320.0,73.434
325.0,46.5644
330.0,88.882
351.0,20.4689
352.0,25.5903
353.0,85.9657
356.0,24.144
365.0,60.3367
371.0,14.0032
383.0,48.2569
384.0,40.4159
409.0,7.18081
415.0,61.2106
416.0,49.4681
425.0,71.6522
447.0,59.9942
448.0,59.4588
461.0,86.8984
472.0,52.2973
479.0,90.4941
480.0,74.9807
490.0,59.3469
500.0,94.7634
509.0,58.8114
511.0,87.243
512.0,96.1317
519.0,37.1025
526.0,91.4004
543.0,50.0799
544.0,58.5413
567.0,99.0841
575.0,55.5349
576.0,56.2678
583.0,95.3286
591.0,57.3567
595.0,92.3037
605.0,51.7392
607.0,76.6763
608.0,67.3979
613.0,31.1808
617.0,81.64
639.0,40.2078
640.0,43.5611
641.0,78.123
642.0,50.5624
658.0,66.133
671.0,47.2193
672.0,35.5499
682.0,12.1742
703.0,71.2263
704.0,72.9299
709.0,50.4542
733.0,67.9181
735.0,34.4145
736.0,40.7006
749.0,85.7535
754.0,42.5595
767.0,81.3233
768.0,84.0989
783.0,74.8042
787.0,99.7993
793.0,65.5877
797.0,96.4445
799.0,57.6824
800.0,26.9473
811.0,94.5514
828.0,0.932576
831.0,94.3432
832.0,99.9093
839.0,30.8258
844.0,96.7353
863.0,65.5931
864.0,65.1857
876.0,99.7692
895.0,60.0329
896.0,59.966
899.0,98.4473
915.0,44.7254
927.0,64.598
928.0,55.8074
959.0,11.0977
960.0,12.0335
967.0,28.7035
980.0,0.0302938
986.0,62.5529
991.0,36.9261
992.0,34.0154
995.0,73.5753
1005.0,29.6436
1023.0,52.7313
1024.0,30.7705
1038.0,12.3283
1043.0,97.1999
1050.0,39.13
1055.0,75.9325
1056.0,46.8014
1065.0,94.4565
1072.0,39.3195
1076.0,86.3281
1087.0,65.7954
1088.0,93.6668
1097.0,7.8296
1100.0,94.2787
1110.0,10.237
1119.0,64.2402
1120.0,49.4093
1125.0,91.6612
1132.0,52.3235
1151.0,78.7734
1152.0,58.7538
1161.0,87.6331
1177.0,44.1913
1183.0,88.2122
1184.0,85.0764
1194.0,33.3041
1208.0,77.8306
1215.0,23.1543
1216.0,25.7064
1224.0,56.6851
1242.0,5.81891
1247.0,36.5972
1248.0,18.6226
1279.0,28.089
1280.0,32.7362
1283.0,90.046
1288.0,38.0455
1311.0,33.2518
1312.0,34.0522
1329.0,94.6543
1343.0,74.6036
1344.0,97.7725
1375.0,40.6414
1376.0,92.3376
1380.0,27.4222
1387.0,98.1035
1390.0,16.9054
1397.0,90.4711
1407.0,55.3003
1408.0,67.08
1410.0,94.3941
1421.0,40.5053
1424.0,74.7119
1439.0,52.1017
1440.0,41.909
1448.0,85.037
1464.0,35.4361
1471.0,94.0946
1472.0,75.799
1478.0,13.922
1493.0,84.5889
1503.0,41.2395
1504.0,49.7738
1535.0,3.90218
1536.0,12.3406
1567.0,56.8969
1568.0,46.898
1596.0,57.824
1599.0,26.926
1600.0,28.9391
1610.0,83.2805
1614.0,62.3451
1631.0,75.2846
1632.0,83.303
1638.0,53.0356
1645.0,97.0441
1652.0,51.1102
1654.0,93.9009
1663.0,61.2166
1664.0,78.0364
1681.0,35.3435
1695.0,63.4625
1696.0,68.6882
1714.0,99.9892
1721.0,46.2892
1727.0,84.2279
1728.0,83.3344
1744.0,53.0853
1749.0,87.3496
1759.0,39.6916
1760.0,58.3305
1772.0,86.6989
1791.0,35.6583
1792.0,42.5453
1807.0,15.0682
1809.0,51.7327
1812.0,16.2695
1823.0,59.9088
1824.0,59.6359
1855.0,83.1421
1856.0,83.1189
1887.0,81.0993
1888.0,80.4112
1902.0,97.4535
1908.0,56.9738
1914.0,94.6647
1919.0,64.1346
1920.0,65.102
1923.0,99.1445
1940.0,33.6699
1951.0,64.2398
1952.0,61.4846
1967.0,19.8631
1970.0,81.611
1983.0,57.7091
1984.0,56.0959
1993.0,84.2941
2002.0,38.7752
2007.0,90.6254
2015.0,59.3746
2016.0,57.3199
2030.0,90.3181
2047.0,25.0414
2048.0,41.1978
2052.0,75.0712
2054.0,22.3926
2059.0,39.3584
2079.0,14.9716
2080.0,33.6731
2111.0,13.6845
2112.0,26.2602
2143.0,44.8744
2144.0,42.2352
2160.0,84.6493
2171.0,40.2756
2175.0,95.7004
2176.0,92.9601
2201.0,42.1715
2203.0,82.3936
2207.0,47.4119
2208.0,84.3028
2223.0,46.4906
2226.0,95.6873
2231.0,38.1741
2234.0,88.0478
2239.0,15.3505
2240.0,16.4411
2245.0,87.0731
2253.0,20.4559
2256.0,96.4211
2271.0,66.0038
2272.0,70.0754
2282.0,98.4495
2303.0,59.4715
2304.0,56.8719
2316.0,80.0647
2335.0,51.2879
2336.0,54.8386
2340.0,93.4107
2350.0,38.0596
2355.0,84.3068
2361.0,52.463
2367.0,71.5986
2368.0,64.0214
2399.0,40.7894
2400.0,50.4983
2431.0,48.6011
2432.0,45.6926
2448.0,80.122
2459.0,44.096
2463.0,90.1349
2464.0,82.9394
2482.0,57.0391
2487.0,79.3978
2495.0,37.7029
2496.0,78.422
2507.0,12.2509
2527.0,76.0789
2528.0,74.7705
2538.0,25.609
2548.0,66.5582
2559.0,52.105
2560.0,50.8663
2586.0,90.4547
2591.0,67.5595
2592.0,84.9053
2601.0,39.9723
2604.0,81.7431
2618.0,27.8408
2623.0,60.3421
2624.0,61.647
2628.0,91.4907
2630.0,56.7451
2647.0,79.6404
2655.0,54.9673
2656.0,71.9995
2670.0,16.8124
2687.0,35.021
2688.0,57.4594
2719.0,40.4574
2720.0,35.1317
2736.0,79.382
2744.0,36.9645
2751.0,76.2459
2752.0,76.0609
2760.0,94.4088
2769.0,68.0089
2772.0,98.1971
2776.0,47.7991
2779.0,99.7759
2783.0,37.8432
2784.0,46.5029
2803.0,89.8335
2812.0,2.10909
2815.0,88.0652
2816.0,72.3007
2821.0,50.1798
2826.0,86.9481
2836.0,51.0176
2839.0,96.5396
2847.0,55.9012
2848.0,65.9013
2850.0,95.5643
2858.0,48.6553
2864.0,98.0951
2879.0,55.5484
2880.0,53.6583
2886.0,83.7266
2888.0,38.2822
2905.0,31.8786
2909.0,61.841
2911.0,30.4956
2912.0,28.1781
2931.0,42.0935
2943.0,17.4235
2944.0,14.5634
2959.0,54.0698
2967.0,20.38
2975.0,67.0047
2976.0,52.8985
2994.0,19.0007
3007.0,31.2051
3008.0,33.4272
3017.0,53.4125
3027.0,23.3603
3030.0,99.6052
3039.0,71.4846
3040.0,42.6515
3051.0,89.6953
3058.0,5.94797
3064.0,95.8592
3071.0,32.0298
3072.0,31.8348
3074.0,96.4542
3081.0,20.228
3096.0,91.5167
3103.0,29.6036
3104.0,33.2043
3107.0,95.6832
3119.0,48.487
3132.0,96.4294
3135.0,55.0178
3136.0,49.7233
3144.0,90.3455
3161.0,26.7488
3167.0,95.2966
3168.0,74.9571
3188.0,14.4154
3190.0,64.9296
3199.0,40.3727
3200.0,30.3118
3213.0,43.9485
3231.0,10.9384
3232.0,11.0413
3248.0,5.36848
3250.0,63.4864
3263.0,38.5828
3264.0,54.0237
3285.0,25.309
3295.0,43.1874
3296.0,44.8338
3312.0,97.4613
3327.0,37.0082
3328.0,54.7452
3346.0,95.9532
3353.0,13.4832
3359.0,93.2332
3360.0,93.4213
3365.0,3.73015
3372.0,79.9205
3374.0,10.1074
3381.0,74.1397
3391.0,36.0657
3392.0,45.2199
3417.0,93.5036
3423.0,43.9307
3424.0,53.3038
3429.0,89.6701
3434.0,39.2313
3441.0,75.3322
3455.0,33.8835
3456.0,33.6209
3469.0,19.6821
3476.0,65.4681
3487.0,35.7364
3488.0,33.1329
3507.0,14.2076
3512.0,55.7628
3519.0,11.5857
3520.0,9.69701
3551.0,39.1399
3552.0,35.7439
3581.0,31.1217
3583.0,65.1567
