date,ncumul_conf
18/03/2020,27
18/03/2020,146
18/03/2020,18
18/03/2020,133
18/03/2020,8
18/03/2020,44
18/03/2020,511
18/03/2020,5
18/03/2020,1304
18/03/2020,299
18/03/2020,28
18/03/2020,895
18/03/2020,96
18/03/2020,33
18/03/2020,181
18/03/2020,568
18/03/2020,65
19/03/2020,6
19/03/2020,366
19/03/2020,227
19/03/2020,108
19/03/2020,16
19/03/2020,182
19/03/2020,32
19/03/2020,79
19/03/2020,175
19/03/2020,25
19/03/2020,153
19/03/2020,12
19/03/2020,51
19/03/2020,638
19/03/2020,7
19/03/2020,1515
19/03/2020,336
19/03/2020,28
19/03/2020,1118
19/03/2020,134
19/03/2020,37
19/03/2020,220
19/03/2020,679
20/03/2020,427
20/03/2020,276
20/03/2020,142
20/03/2020,20
20/03/2020,226
20/03/2020,38
20/03/2020,189
20/03/2020,28
20/03/2020,192
20/03/2020,17
20/03/2020,59
20/03/2020,1754
20/03/2020,431
20/03/2020,37
20/03/2020,1285
20/03/2020,175
20/03/2020,849
20/03/2020,48
20/03/2020,98
20/03/2020,270
20/03/2020,7
20/03/2020,711
20/03/2020,66
21/03/2020,
21/03/2020,469
21/03/2020,301
21/03/2020,166
21/03/2020,25
21/03/2020,258
21/03/2020,49
21/03/2020,200
21/03/2020,33
21/03/2020,201
21/03/2020,28
21/03/2020,73
21/03/2020,1873
21/03/2020,482
21/03/2020,44
21/03/2020,1426
21/03/2020,223
21/03/2020,916
21/03/2020,12
21/03/2020,53
21/03/2020,297
21/03/2020,121
21/03/2020,918
22/03/2020,504
22/03/2020,323
22/03/2020,203
22/03/2020,29
22/03/2020,284
22/03/2020,51
22/03/2020,216
22/03/2020,36
22/03/2020,212
22/03/2020,30
22/03/2020,80
22/03/2020,1975
22/03/2020,520
22/03/2020,46
22/03/2020,1532
22/03/2020,235
22/03/2020,945
22/03/2020,53
22/03/2020,356
22/03/2020,140
22/03/2020,977
23/03/2020,574
23/03/2020,360
23/03/2020,225
23/03/2020,31
23/03/2020,300
23/03/2020,57
23/03/2020,247
23/03/2020,39
23/03/2020,261
23/03/2020,32
23/03/2020,86
23/03/2020,22
23/03/2020,2281
23/03/2020,616
23/03/2020,51
23/03/2020,1680
23/03/2020,24
23/03/2020,245
23/03/2020,1162
23/03/2020,53
23/03/2020,30
23/03/2020,374
23/03/2020,182
23/03/2020,95
23/03/2020,1066
24/03/2020,628
24/03/2020,410
24/03/2020,255
24/03/2020,33
24/03/2020,343
24/03/2020,76
24/03/2020,265
24/03/2020,42
24/03/2020,290
24/03/2020,34
24/03/2020,97
24/03/2020,95
24/03/2020,2546
24/03/2020,716
24/03/2020,51
24/03/2020,1794
24/03/2020,25
24/03/2020,104
24/03/2020,283
24/03/2020,1209
24/03/2020,72
24/03/2020,215
24/03/2020,1212
24/03/2020,8
25/03/2020,686
25/03/2020,458
25/03/2020,293
25/03/2020,40
25/03/2020,393
25/03/2020,89
25/03/2020,280
25/03/2020,44
25/03/2020,320
25/03/2020,35
25/03/2020,
25/03/2020,112
25/03/2020,2738
25/03/2020,785
25/03/2020,53
25/03/2020,1933
25/03/2020,27
25/03/2020,129
25/03/2020,318
25/03/2020,34
25/03/2020,1354
25/03/2020,80
25/03/2020,462
25/03/2020,237
25/03/2020,1356
25/03/2020,9
26/03/2020,740
26/03/2020,492
26/03/2020,309
26/03/2020,43
26/03/2020,433
26/03/2020,97
26/03/2020,299
26/03/2020,48
26/03/2020,351
26/03/2020,36
26/03/2020,107
26/03/2020,117
26/03/2020,38
26/03/2020,2943
26/03/2020,861
26/03/2020,56
26/03/2020,2131
26/03/2020,30
26/03/2020,141
26/03/2020,367
26/03/2020,1401
26/03/2020,87
26/03/2020,501
26/03/2020,256
26/03/2020,1488
26/03/2020,42
26/03/2020,11
27/03/2020,818
27/03/2020,533
27/03/2020,371
27/03/2020,47
27/03/2020,474
27/03/2020,110
27/03/2020,316
27/03/2020,54
27/03/2020,386
27/03/2020,37
27/03/2020,119
27/03/2020,131
27/03/2020,40
27/03/2020,3177
27/03/2020,953
27/03/2020,60
27/03/2020,2291
27/03/2020,157
27/03/2020,407
27/03/2020,1688
27/03/2020,94
27/03/2020,530
27/03/2020,320
27/03/2020,44
27/03/2020,1614
27/03/2020,12
28/03/2020,842
28/03/2020,556
28/03/2020,423
28/03/2020,47
28/03/2020,495
28/03/2020,115
28/03/2020,337
28/03/2020,55
28/03/2020,394
28/03/2020,40
28/03/2020,122
28/03/2020,140
28/03/2020,48
28/03/2020,3308
28/03/2020,999
28/03/2020,61
28/03/2020,2492
28/03/2020,37
28/03/2020,173
28/03/2020,444
28/03/2020,45
28/03/2020,1727
28/03/2020,101
28/03/2020,569
28/03/2020,1688
28/03/2020,13
29/03/2020,862
29/03/2020,565
29/03/2020,444
29/03/2020,50
29/03/2020,519
29/03/2020,118
29/03/2020,346
29/03/2020,59
29/03/2020,396
29/03/2020,41
29/03/2020,128
29/03/2020,148
29/03/2020,3393
29/03/2020,1033
